Comment,Forum
其實佢講咗好多次「你地唔好嚟，等差佬拉」。佢應該係估錯晒，以為拖到差佬嚟，就可以拉人，點知係自己友被打到一仆一碌,LIHKG
好詳細，支持,LIHKG
係，聽到有對話提起：你係咪返上水？,LIHKG
"成立獨立調查委員會
調查警黑合作問題",LIHKG
希望有多d資料，補返呢半粒鐘空白,LIHKG
"有呢個timeline 易明好多, 唔好俾d 仆街混淆話黑衣人撩交打先, 明明係白衫仆街先打人",LIHKG
還原真相 推,LIHKG
"呢個係咪西鐵站中間（即係新元中／形點II入去）賣票機個位？
「一班白衫」，大約幾多個？",LIHKG
感謝巴打整理時間，好清楚,LIHKG
港台應該有片?應該一直係外面?,LIHKG
"推
必須追究到底！！",LIHKG
"其實林卓廷呢個行為都幾誇張
呢樣又係駁唔到 佢係真係有撩人先",LIHKG
係呀中間位，大概5-6個，全部廢老,LIHKG
Push 民間獨立調查還原真相,LIHKG
幫推,LIHKG
有冇巴打可以一齊幫手查， 個post係咁沉,LIHKG
"冷處理
對同路人寬容",LIHKG
推,LIHKG
推。Thx,LIHKG
"我都搵唔到 我印象係白衫撬完閘之後既事
估計係中環既人去左元朗幫手
因為有晒頭盔",LIHKG
我今日都有睇過,LIHKG
"好detail
有冇巴打/巴打親戚朋友10點打後係西鐵站入面/附近？
還原真相",LIHKG
"警黑合作，無法無天。
不拆祠堂，只求公道。",LIHKG
睇個youtube account，係咪HK01影到？,LIHKG
下晝兩點開始的時序表，酒樓名都有埋,LIHKG
光復香港 時代革命,LIHKG
呢個p牌堅！,LIHKG
pish!!!,LIHKG
都幾詳細，但白衫點樣成隊人入西鐵站、黑衫倒迫白衫、拉閘前等，仍然未知,LIHKG
"好有心呀
其實好多 fb 片都考證唔到時間
881 尋日要求港鐵放晒D cctv 比公眾，話根據案例係可以，如果需要可代向 pdpo 查詢，港鐵條友話會 follow wor",LIHKG
"聽日就係721嘅第四個月
點解一個行動post都無
黎明行動重要之餘
唔好忘記721 黨鐵黑警對白衣人事件視而不見
聽日夜晚1900元朗站/yoho mall見
去唔到嘅就各大黨鐵站見
我地唔可以忘記第一次公然鄉黑警合作
推上熱門
光復香港
時代革命",LIHKG
"721
831
101",LIHKG
求幫推,LIHKG
白衫鄉黑死全家,LIHKG
我元朗狗哥叫你地 唔好忘記,LIHKG
求幫推,LIHKG
721警黑合作 殘害港人,LIHKG
"推 721 同831 每個月都有
仲有好撚多日子不能盡錄 例如 101, 1111, 1115",LIHKG
推啊唔要沉底,LIHKG
大大力推比所有人知聽晚有行動,LIHKG
推啊,LIHKG
唔可以比人忘記呢一日,LIHKG
鄉黑死全家,LIHKG
聽日同聽晚都要人,LIHKG
每逢廿一號元朗啲魔警會搞宵禁,LIHKG
佢封元朗都唔會阻到人去記住呢一日,LIHKG
香港人反抗唔單係口號,LIHKG
光復香港 時代革命,LIHKG
聽晚元朗要人,LIHKG
永不忘記,LIHKG
唔可以鄉黑當道,LIHKG
少開post格式柒,LIHKG
鄉黑賤種死全家,LIHKG
成功做埋一哥添,LIHKG
每個月21號要人,LIHKG
天佑我城,LIHKG
要記住！,LIHKG
記住唔好再陣地戰,LIHKG
目的係要佢封站,LIHKG
元朗恐襲四個月,LIHKG
得7個月有31號...,LIHKG
一個月最後一日,LIHKG
聽晚元朗要人求推上熱門,LIHKG
"香港人唔可以原諒黑警
唔可以忘記鄉黑對我地手足做嘅一切",LIHKG
"小心呀, 唔好好似上次上水咁肉酸",LIHKG
推爆佢,LIHKG
721 831 1001 1111,LIHKG
"721係赤裸裸咁話比香港人
香港警察係有幾咁腐敗",LIHKG
"正正因為咁 香港人唔可以忘記仇恨
光復之日就係清算鄉黑之時",LIHKG
推上熱門啊,LIHKG
"非分化
跪求唔好再喺老地方開拖
隔離其實已經係街市範圍
啲空氣質素已經勁差",LIHKG
"元朗恐襲應該focus 返喺黨鐵
不過估佢會封站 yoho見",LIHKG
朝早有三罷 夜晚有恐襲4個月,LIHKG
求上熱門比多啲人睇到,LIHKG
天水圍元朗人推爆佢,LIHKG
"元朗站唔會有21號
留名聽日晏晝封站",LIHKG
"今朝女學生早幾個站比人打都無人理喇
呢份堅持最後都比時間沖淡 學生真係好撚慘只要政權夠無賴 + 港人金魚記憶 政府對唔住年輕人 香港人都一樣",LIHKG
元朗要有21號唔可以忘記佢地點對我地手足,LIHKG
任何一件事都唔可以忘記,LIHKG
"各位手足，關於送林奠去大灣區的partition，尋日激增20000幾人(差不多簽署人數的10%)，證明大家都好希望將佢舉家永遠封印晌大灣區！
嘅然係咁就唔好停了，跟據早前民意調查有7成人唔妥佢嘅，咁我地嘅目標係咪應該set晌490萬個簽名呢？
小弟英文唔好，如果可以的話，亦希望各手足可以幫手將佢推上國際！
唔使俾錢架，簽完再share就唔使比錢㗎啦。最新消息：今朝22萬9千了！目標：490萬",LIHKG
721永遠都屌鄉黑,LIHKG
推到以後元朗21號封站,LIHKG
721唔見人,LIHKG
"封硬站啦!
yoho見",LIHKG
死黑警 200+人恐襲你唔捉，走去搞學生,LIHKG
死黑警死鄉黑 死全家,LIHKG
推爆佢求文宣圖,LIHKG
721 冇人理？,LIHKG
求文宣組出手,LIHKG
大大力推啊,LIHKG
今日一post 聽日都post,LIHKG
721死黑警唔見人,LIHKG
理大校園內，冇圖冇片冇聲音，你班支共黑警去全部作暴動?,LIHKG
聽日都有黎明行動,LIHKG
請推上熱門,LIHKG
721 200+人得個6個暴動，冇撚病下,LIHKG
咁快4個月,LIHKG
呢個post好重要救下poly,LIHKG
推多十下,LIHKG
士多啤梨阿叔拉左未,LIHKG
到依家白衫傻閪仲無後果架,LIHKG
"推
btw今次唔好比人spin風向咩十八區開花",LIHKG
香港人再善忘都好 唔可以忘記721呢一日,LIHKG
何妖死全家,LIHKG
毋忘721,LIHKG
721四個月啦,LIHKG
1121要人,LIHKG
"以暴動罪拘捕人數比較：
理工人質事件：1000+
721元朗官鄉警黑：35 (2019年10月31日 wiki)",LIHKG
我要黨鐵元朗站每個月既21號停開令港人記住班仆街狗,LIHKG
721永遠都會喺我心入面,LIHKG
行動 post 應該要主推,LIHKG
"聰明啲，踢走班狗先再搞啦！
藍絲狗一定叫你依幾日出嚟搞嘢，失民意",LIHKG
"1121元朗好似未有文宣圖
有冇手足識文宣組可以聯絡下",LIHKG
元朗1121要人,LIHKG
推呀,LIHKG
唔可以忘記,LIHKG
鄉黑絕子絕孫,LIHKG
原來已經4個月,LIHKG
屌你老母 今朝廢老打學生妹都冇人幫拖啦,LIHKG
係啊 但先拉咗三十幾個咋,LIHKG
1121要人,LIHKG
聽晚要人啊,LIHKG
需要文宣組手足,LIHKG
推到有文宣圖,LIHKG
永不忘記 推,LIHKG
鄉黑做埋一哥曱甴王,LIHKG
寧鳴而死,LIHKG
所以先更加唔可以忘記,LIHKG
已經四個月，有人負責未？！dklm,LIHKG
"冇
所以一定要出嚟
鄉黑死全家",LIHKG
鄉黑死全家,LIHKG
推到人人一到廿一號會記得721,LIHKG
"721唔見人
葉虎",LIHKG
警黑合作屌你老母,LIHKG
推上熱門,LIHKG
推到大家都記得721,LIHKG
"每個人都唔可以忘記
即使有新嘅事發生 舊嘅都唔可以忘記
推到個個記得！",LIHKG
所有人都要記住！,LIHKG
光復香港,LIHKG
甴近平,LIHKG
時代革命,LIHKG
"港共永遠兜唔到721發生嘅事
春袋",LIHKG
發夢元朗站封左之後會去大馬路，因為元西連儂地方唔夠大,LIHKG
黑警死全家,LIHKG
"小心, 黑鄧上台班鄉黑一定更加猖狂",LIHKG
何妖死全家,LIHKG
"發夢聽日重狗 點做 做啲咩要傾下
但目前好似未見有文宣
所以要推到有人出文宣 小弟不才",LIHKG
何妖黑警鄉黑死全家,LIHKG
"聽朝三罷要搞
聽晚721第四個月都要搞啊",LIHKG
"聽朝十八區要人
聽晚元朗要人",LIHKG
推到成班鄉黑坐監為止,LIHKG
聽晚要人,LIHKG
光復香港,LIHKG
聽晚元朗要人,LIHKG
唔可以比鄉黑走甩 唔可以忘記任何一件事,LIHKG
721 唔會忘記呢一日,LIHKG
推到個個記得721,LIHKG
推啊,LIHKG
所有人都要記得每個月21號係咩日子,LIHKG
推,LIHKG
Live 緊,LIHKG
要睇撚曬D片巴C打們要保護好自己,LIHKG
五個！,LIHKG
真係多,LIHKG
起碼都要告暴動啦屌,LIHKG
"非法集結
請問捉左你自己d伙記未",LIHKG
五個堂口每個交一個人出來交差,LIHKG
高調拉人，低調送人。警黑一家親,LIHKG
5個？夠唔夠沖地鐵站,LIHKG
"阻阻大家 小弟嘅白宮聯署差四分一人咋
希望request國際人道救援/援助 人權監察
已經有七萬四千人簽咗
係我知 未必work 但呢個簡單嘅步驟 希望咁多位唔好放棄任何一線機會
希望大家用兩分鐘簽簽佢記住confirm email
同幫手推推post thx
大家繼續幫手文宣 各自爬山 山頂見",LIHKG
篤6個出嚟就打算平息單嘢？,LIHKG
"高調搵人
低調放人
不起訴",LIHKG
5個 笑左,LIHKG
"記者未問完
隻狗就走",LIHKG
"你真係弱撚智架喎
冇100個你就收鳩皮啦",LIHKG
告恐襲啊!,LIHKG
咁快走？ 屌你老母啦,LIHKG
"非法集結
同沙田睇戲喺公園坐定定d 女仔一樣",LIHKG
班大佬就繼續un un腳，下次再打過,LIHKG
5個就當交差？你當香港人傻？,LIHKG
On9 最後走先問,LIHKG
"捉5條友當交待 尋日班仆街7個圍1個都有啦屌你老母
食屎啦",LIHKG
咁都叫交代,LIHKG
比夠24小時拉得5個？其他分區啲人又有野忙緊？,LIHKG
5名，屌你老母啦黑警,LIHKG
琴日成百人唔拉,LIHKG
5個加埋你成班元朗區黑警或者夠數,LIHKG
"而家好多post同連登熱門都關於元朗嘅事
琴晚中環啲post潛曬底
十分古怪
而且當中有好多假post 假內容
一唔係就重重覆覆
而關於元朗內容嘅post就唧牙膏咁keep住有
大家一定要幫手推返中環啲post上嚟
連登好多鬼
唔好俾中共淡化佢哋琴晚係中環嘅所作所為
想討論元朗嘅 或者其他嘢 請集中一個post",LIHKG
我屌佢老母啦，出來3分鐘都無,LIHKG
畀記者追擊到走都走唔切,LIHKG
後來改返6,LIHKG
非法集會炸,LIHKG
非法集結破壞社會安寧 就係暴動,LIHKG
"又話暴力行為 但又告非法集結
者係又自打嘴巴",LIHKG
警狗真係好鍾意帶人遊花園,LIHKG
應該拉左五個黑衫,LIHKG
"剩係片入面，清晰有樣起咗底都唔止喇
收皮喇",LIHKG
用私家車車拘捕人,LIHKG
