,Comment,Forum,Segments,NoStopPunct
10,高汁,1,高汁,高汁
11,唯一可以攞公帑鬧政府既公營機構,1,唯一 可以 攞 公帑 鬧 政府 既 公營 機構,唯一 攞 公帑 鬧 政府 公營 機構
12,推比師奶睇,1,推比 師奶 睇,推比 師奶
13,要支持良心媒體,1,要 支持 良心 媒體,支持 良心 媒體
14,推到佢攞普立茲獎,1,推到 佢 攞 普立茲 獎,推到 攞 普立茲 獎
15,啲牛屎飛會唔會搞鳩啲舖頭,1,啲 牛 屎 飛會 唔會 搞 鳩 啲 舖頭,牛 屎 飛會 唔會 搞 鳩 舖頭
16,"港台
唔睇都埋嚟推下po",1,"港台 
 唔 睇 都 埋 嚟 推下 po",港台 埋 嚟 推下 po
17,光復香港 時代革命,1,光復 香港   時代 革命,光復 香港 時代 革命
18,唔係受害人可唔可以去報案？睇到好心痛 想收班鄉黑牛屎佬皮,1,唔係 受害人 可 唔 可以 去 報案 ？ 睇 到 好心 痛   想 收班鄉 黑牛 屎 佬 皮,受害人 可 報案 好心 痛 收班鄉 黑牛 屎 佬 皮
19,個CCTV + 時間地圖分析極高質,1,個 CCTV   +   時間 地圖分析 極 高質,CCTV 時間 地圖分析 極 高質
20,"可以用黎做呈堂証供啦屌
最後先諷刺，拉果13個都係和非法集會罰500了事",1,"可以 用黎 做 呈 堂 証 供 啦 屌 
 最後 先 諷刺 ， 拉果 13 個 都 係 和 非法 集會 罰 500 了事",用黎 做 呈 堂 証 供 啦 屌 最後 先 諷刺 拉果 13 非法 集會 罰 500 了事
21,"好撚高質 已經算係調查報告
再次證明
黑警死全家 沒有一個係無辜",1,"好 撚 高質   已經 算 係 調查報告 
 再次 證明 
 黑警 死 全家   沒有 一個 係 無辜",撚 高質 算 調查報告 再次 證明 黑警 死 全家 一個 無辜
22,推俾所有人睇,1,推 俾 所有人 睇,推 俾 所有人
23,鐵證如山,1,鐵證如山,鐵證如山
24,"冇喊過
只有仇恨",1,"冇 喊過 
 只有 仇恨",喊過 只有 仇恨
25,根本有心查連平民都查到,1,根本 有心 查 連平 民都 查到,根本 有心 查 連平 民都 查到
26,"痴線 睇多次真係睇到眼火爆
呢段就係最強既文宣片",1,"痴線   睇 多次 真係 睇 到 眼 火爆 
 呢 段 就係 最強 既文 宣片",痴線 多次 眼 火爆 段 就係 最強 既文 宣片
27,實在好藉得睇,1,實在 好 藉 得 睇,實在 藉
28,推!!!大家記得click入youtube條片同subscribe RTHK,1,推 ! ! ! 大家 記得 click 入 you tu be 條片 同 subscri be   RTHK,推 大家 記得 click 入 you tu be 條片 subscri be RTHK
29,唔敢睇,1,唔 敢 睇,敢
30,期望差狗去拉白衫「自己人」？倒不如…,1,期望 差狗 去 拉 白衫 「 自己 人 」 ？ 倒不如 …,期望 差狗 拉 白衫 人 倒不如 …
31,睇到好撚嬲！屌你老母臭閪死黑警,1,睇 到 好 撚 嬲 ！ 屌 你 老母 臭 閪 死 黑警,撚 嬲 屌 老母 臭 閪 死 黑警
32,幫RTHK r多次資源，唔好俾政府有藉口cut cost,1,幫 RTHK   r 多次 資源 ， 唔好 俾 政府 有 藉口 cut   cost,幫 RTHK r 多次 資源 唔好 俾 政府 藉口 cut cost
33,屌完更加憎恨黑警,1,屌 完 更加 憎恨 黑警,屌 完 更加 憎恨 黑警
34,"岩岩睇完
心情又再低落過",1,"岩岩 睇 完 
 心情 又 再 低落 過",岩岩 完 心情 低落
35,按錯了負sorry正評推一推,1,按錯 了負 sorry 正評 推一 推,按錯 了負 sorry 正評 推一 推
36,真係好撚心寒，要鋤死班仆街！,1,真係 好 撚 心寒 ， 要 鋤 死班仆 街 ！,撚 心寒 鋤 死班仆 街
37,"推到比多啲人知 睇下黑警係幾咁欺善怕惡
成班黑警視若無睹 見到咁大堆白衫集結都唔去調查不特止 仲要渣車走撚埋",1,"推到 比多 啲 人知   睇 下 黑警 係 幾 咁 欺善怕惡 
 成班 黑警 視若無睹   見到 咁 大堆 白衫 集結 都 唔 去 調查 不特止   仲要 渣車 走 撚 埋",推到 比多 人知 下 黑警 欺善怕惡 成班 黑警 視若無睹 見到 大堆 白衫 集結 調查 不特止 仲要 渣車 走 撚 埋
38,黑警沒有一個係無辜,1,黑警 沒有 一個 係 無辜,黑警 一個 無辜
39,"NOW同港台真係正到痴線
黑警正仆街",1,"NOW 同 港台 真係 正到 痴線 
 黑警 正仆街",NOW 港台 正到 痴線 黑警 正仆街
40,"唔敢睇都決定睇曬
驚呢樣野慢慢係心入面淡忘 慢慢變得習慣
慢慢無左果種憤怒",1,"唔 敢 睇 都 決定 睇 曬 
 驚 呢 樣野 慢慢 係 心 入面 淡忘   慢慢 變得 習慣 
 慢慢 無 左果種 憤怒",敢 決定 曬 驚 樣野 慢慢 心 入面 淡忘 慢慢 變得 習慣 慢慢 左果種 憤怒
41,唔敢睇，恐怖過鬼片。,1,唔 敢 睇 ， 恐怖 過 鬼片 。,敢 恐怖 鬼片
42,我睇完心都up哂,1,我 睇 完心 都 up 哂,完心 up 哂
43,"721真係官鄉黑合作既""典範""
時間錯位夾到痴撚線 2範人+何妖完全各自行動
除左握手之外無交集 但肯定一早安排好曬
有組織咁發動恐襲",1,"721 真係 官鄉 黑 合作 既 "" 典範 "" 
 時間 錯位 夾到 痴 撚 線   2 範人 + 何 妖 完全 各自 行動 
 除 左 握手 之外 無 交集   但 肯定 一早 安排 好 曬 
 有 組織 咁 發動 恐襲",721 官鄉 黑 合作 典範 時間 錯位 夾到 痴 撚 線 2 範人 何 妖 完全 各自 行動 除 左 握手 之外 交集 但 肯定 一早 安排 曬 組織 發動 恐襲
44,唔忍心再睇,1,唔 忍心 再 睇,忍心
45,報俾邊個 白衫同黑警同一班人黎,1,報 俾 邊個   白衫同 黑警同 一班人 黎,報 俾 白衫同 黑警同 一班人 黎
46,港台真心高質,1,港台 真心 高質,港台 真心 高質
47,"重播31台
而家",1,"重播 31 台 
 而家",重播 31 台
48,"簡單方便支持學生
買張全新既
普通版八達通
每張$150
已經可以支持學生
走時向閘口俾學生
回程車費$25食飯$50
下次食飯$50用到負值
退票$22再買單程票去
俾學生返去可食餐飽
下次食飽有錢坐車去
麻煩閘口買票既改下方式
唔好再買單程票
轉買八達通俾學生
d錢留返俾學生食飯啦
大人既自己買張八達專用
用完去退再買過張新既用",1,"簡單 方便 支持 學生 
 買張 全新 既 
 普通 版 八達通 
 每張 $ 150 
 已經 可以 支持 學生 
 走時 向 閘口 俾 學生 
 回程 車費 $ 25 食飯 $ 50 
 下次 食飯 $ 50 用到 負值 
 退票 $ 22 再 買 單程票 去 
 俾 學生 返去 可食餐 飽 
 下次 食飽 有錢 坐車去 
 麻煩 閘口 買票 既 改下 方式 
 唔好 再 買 單程票 
 轉買 八達通 俾 學生 
 d 錢 留返 俾 學生 食飯 啦 
 大人 既 自己 買張 八達 專用 
 用 完去 退 再 買過 張新 既用",簡單 方便 支持 學生 買張 全新 普通 版 八達通 每張 150 支持 學生 走時 向 閘口 俾 學生 回程 車費 25 食飯 50 下次 食飯 50 用到 負值 退票 22 買 單程票 俾 學生 返去 可食餐 飽 下次 食飽 有錢 坐車去 麻煩 閘口 買票 改下 方式 唔好 買 單程票 轉買 八達通 俾 學生 d 錢 留返 俾 學生 食飯 啦 大人 買張 八達 專用 用 完去 退 買過 張新 既用
49,要煲大呢件事！講起元朗藍屍都會收皮！,1,要煲 大 呢 件 事 ！ 講起 元朗 藍屍 都 會 收皮 ！,要煲 大 件 事 講起 元朗 藍屍 收皮
50,唔明點解咁大件事無人繼續追究,1,唔 明 點解 咁 大件 事 無人 繼續 追究,明 大件 事 無人 繼續 追究
51,一定要大大力推,1,一定 要 大大 力推,大大 力推
52,元朗係扭轉社會輿論既彈藥 唔好嘥左佢,1,元朗 係 扭轉 社會輿論 既 彈藥   唔好 嘥 左 佢,元朗 扭轉 社會輿論 彈藥 唔好 嘥 左
53,一定要追究 最有機入到班狗數,1,一定 要 追究   最 有機 入到 班狗數,追究 有機 入到 班狗數
54,提下香港人黑警失職！警黑一家,1,提下 香港人 黑警 失職 ！ 警黑 一家,提下 香港人 黑警 失職 警黑 一家
55,唔可以放過班狗,1,唔 可以 放過 班狗,放過 班狗
56,其實呢段片有無得拎去廉署告班黑警？,1,其實 呢 段片 有無 得 拎去 廉署 告班 黑警 ？,其實 段片 拎去 廉署 告班 黑警
57,追究黑警！,1,追究 黑警 ！,追究 黑警
58,黑警無一個無辜,1,黑警 無 一個 無辜,黑警 一個 無辜
59,"阻阻大家 開左個整合post
幫幫手report d藍絲 保護前線",1,"阻阻 大家   開左個 整合 post 
 幫 幫手 report   d 藍絲   保護 前線",阻阻 大家 開左個 整合 post 幫 幫手 report d 藍絲 保護 前線
60,用MV形式幫大家重溫下依兩個月既黑暗醜惡,1,用 MV 形式 幫 大家 重溫 下依 兩個 月 既 黑暗 醜惡,用 MV 形式 幫 大家 重溫 下依 兩個 月 黑暗 醜惡
61,告到佢地仆街,1,告 到 佢 地 仆 街,告 地 仆 街
62,咁癬件事點解無人追究,1,咁 癬 件 事 點解 無人 追究,癬 件 事 無人 追究
63,白衣condom,1,白衣 con do m,白衣 con do m
64,由612到宜家林鄭同中聯辦成日諗屎橋諗住想民意逆轉 跟住每一次都失敗然後有更多人出嚟,1,由 612 到 宜家 林 鄭同 中聯 辦成 日 諗 屎 橋諗住 想 民意 逆轉   跟住 每一次 都 失敗 然後 有 更多 人出 嚟,612 宜家 林 鄭同 中聯 辦成 日 屎 橋諗住 民意 逆轉 每一次 失敗 更多 人出 嚟
65,畀人拉既義士多過白衣人幾倍,1,畀 人 拉 既 義士 多過 白衣 人 幾倍,畀 人 拉 義士 多過 白衣 人 幾倍
66,Mr sunshine: 支持香港警察,1,Mr   sunsh in e :   支持 香港 警察,Mr sunsh in e 支持 香港 警察
67,"辛苦晒咁快出到片一定做得好辛苦
記住照顧好自己身體健康",1,"辛苦 晒 咁 快 出到 片 一定 做得好 辛苦 
 記住 照顧 好 自己 身體健康",辛苦 晒 快 出到 片 做得好 辛苦 記住 照顧 身體健康
68,黑警擘大眼講大話,1,黑警 擘大 眼講 大話,黑警 擘大 眼講 大話
69,追究到底！,1,追究 到底 ！,追究 到底
70,推佢老母,1,推 佢 老母,推 老母
71,黑警死全家,1,黑警 死 全家,黑警 死 全家
72,"元朗遊行召集人第二日就俾人拉左
何君堯！石鏡泉！就咩事都無
公平咩？仲有無公理公義？
聲討正義就拉，策劃恐襲既就坐係屋企凉冷氣",1,"元朗 遊行 召集人 第二日 就 俾 人 拉 左 
 何君堯 ！ 石鏡 泉 ！ 就 咩 事 都 無 
 公平 咩 ？ 仲 有無 公理 公義 ？ 
 聲討 正義 就 拉 ， 策劃 恐襲 既 就 坐 係 屋企 凉 冷氣",元朗 遊行 召集人 第二日 俾 人 拉 左 何君堯 石鏡 泉 事 公平 仲 公理 公義 聲討 正義 拉 策劃 恐襲 坐 屋企 凉 冷氣
73,解散香港公安局,1,解散 香港 公安局,解散 香港 公安局
74,有線都好高汁,1,有線 都 好 高汁,有線 高汁
75,港台電視部好多節目都好正,1,港台 電視 部 好多 節目 都 好 正,港台 電視 部 好多 節目 正
76,呢廿分鐘每一秒都係精華，查案咁查，仲要將啲事實同黑警嘅大話剪埋一齊好撚正,1,呢 廿 分鐘 每一秒 都 係 精華 ， 查案 咁 查 ， 仲要將 啲 事實 同黑 警 嘅 大話 剪 埋 一齊 好 撚 正,廿 分鐘 每一秒 精華 查案 查 仲要將 事實 同黑 警 大話 剪 埋 一齊 撚 正
77,係連中國國務院小官聽到都走夾唔抖嘅政治醜聞,1,係 連 中國 國務院 小官 聽到 都 走夾 唔 抖 嘅 政治 醜聞,連 中國 國務院 小官 聽到 走夾 抖 政治 醜聞
78,我要罷工,1,我要 罷工,我要 罷工
79,推到未日,1,推到 未日,推到 未日
80,"Push
好撚嬲",1,"Push 
 好 撚 嬲",Push 撚 嬲
81,班狗開始有報應,1,班狗 開始 有 報應,班狗 開始 報應
82,push 真相要比更多人知,1,push   真相 要 比 更多 人知,push 真相 比 更多 人知
83,拉自己？,1,拉 自己 ？,拉
84,依個完全可以拎去告黑警,1,依個 完全 可以 拎去 告黑警,依個 完全 拎去 告黑警
85,班狗仔又唔洗做野 就有料 屌 要心幫佢做埋一份,1,班 狗仔 又 唔 洗 做野   就 有料   屌   要心 幫 佢 做 埋 一份,班 狗仔 洗 做野 有料 屌 要心 幫 做 埋 一份
86,"仆你個街 班死狗拉咗人未呀
打人就咁鬼叻 黑社會你地朋友呀嘛
死黑警不得好死",1,"仆 你 個 街   班死 狗 拉 咗 人 未 呀 
 打人 就 咁 鬼 叻   黑社會 你 地 朋友 呀 嘛 
 死 黑警 不得好死",仆 街 班死 狗 拉 人 打人 鬼 叻 黑社會 地 朋友 嘛 死 黑警 不得好死
87,"再睇返成件事
睇到我好嬲好嬲好嬲，又好心up
呢個香港突然間變得好陌生
已經唔再係我熟悉嘅香港",1,"再 睇 返成件 事 
 睇 到 我 好 嬲 好 嬲 好 嬲 ， 又 好心 up 
 呢個 香港 突然間 變得 好 陌生 
 已經 唔 再 係 我 熟悉 嘅 香港",返成件 事 嬲 嬲 嬲 好心 up 香港 突然間 變得 陌生 熟悉 香港
88,想打佢個頭,1,想 打 佢 個頭,打 個頭
89,"tvb 唔播 = 家老唔睇
=又廢",1,"tvb   唔 播   =   家 老 唔 睇 
 = 又 廢",tvb 播 家 老 廢
90,屌 推 推比全世界港豬 香港市民 藍屍 睇,1,屌   推   推比 全世界 港豬   香港市民   藍屍   睇,屌 推 推比 全世界 港豬 香港市民 藍屍
91,"支持
我老母果輩覺得RTHK持平中立
會肯睇同信",1,"支持 
 我 老母 果輩 覺得 RTHK 持平 中立 
 會肯 睇 同信",支持 老母 果輩 RTHK 持平 中立 會肯 同信
92,"大家一定要 subscript RTHK 個 youtube channel
支持 RTHK",1,"大家 一定 要   subscript   RTHK   個   you tu be   channel 
 支持   RTHK",大家 subscript RTHK you tu be channel 支持 RTHK
93,"屌
比中華膠老豆睇佢駁話RTHK係食外國水
所以先特登拎呢件事黎做文章
又話蘇先生比人打一定係先撩者賤
又扯到去有van司機起中環都比人打又唔見有人關心
我whatsapp左比佢未覆，打救緊自己老豆老母嘅集思廣益下
上環van司機又關元朗咩事？我一直講緊元朗警察失職啊
你係講就講呢單
上環打人你覺得唔岩，元朗呢？？？？？？？？？？？？？
你講個單
同元朗廚房佬被打一樣，挑釁就比人打好合理姐？？？？？？？
唔好雙重標準啦喂",1,"屌 
 比 中華 膠 老豆 睇 佢 駁 話 RTHK 係 食 外國 水 
 所以 先 特登 拎 呢 件 事黎 做文章 
 又 話 蘇 先生 比人 打 一 定係 先 撩者 賤 
 又 扯 到 去 有 van 司機 起 中環 都 比人 打 又 唔見 有人 關心 
 我 what sapp 左 比 佢 未 覆 ， 打救緊 自己 老豆 老母 嘅 集思廣益 下 
 上環 van 司機 又關 元朗 咩 事 ？ 我 一直 講緊 元朗 警察 失職 啊 
 你 係 講就講 呢 單 
 上環 打人 你 覺得 唔 岩 ， 元朗 呢 ？ ？ ？ ？ ？ ？ ？ ？ ？ ？ ？ ？ ？ 
 你 講個 單 
 同 元朗 廚房 佬 被 打 一樣 ， 挑釁 就 比人 打好 合理 姐 ？ ？ ？ ？ ？ ？ ？ 
 唔好 雙重標準 啦 喂",屌 比 中華 膠 老豆 駁 RTHK 食 外國 水 先 特登 拎 件 事黎 做文章 蘇 先生 比人 打 一 定係 先 撩者 賤 扯 van 司機 起 中環 比人 打 唔見 有人 關心 what sapp 左 比 覆 打救緊 老豆 老母 集思廣益 下 上環 van 司機 又關 元朗 事 一直 講緊 元朗 警察 失職 講就講 單 上環 打人 岩 元朗 講個 單 元朗 廚房 佬 被 打 一樣 挑釁 比人 打好 合理 姐 唔好 雙重標準 啦 喂
94,"黑警 黑社會 朋友
你地對唔對得住自己個名 自己份工 自己所謂既警察
垃圾 全撚部黑警都係仆街
咪撚同我講你地維護法紀 保護市民, 你地連人都不如",1,"黑警   黑社會   朋友 
 你 地 對 唔 對得住 自己 個名   自己 份工   自己 所謂 既 警察 
 垃圾   全 撚 部 黑警 都 係 仆 街 
 咪 撚 同 我講 你 地 維護 法紀   保護 市民 ,   你 地 連人 都 不如",黑警 黑社會 朋友 地 對 對得住 個名 份工 所謂 警察 垃圾 全 撚 部 黑警 仆 街 撚 我講 地 維護 法紀 保護 市民 地 連人
95,會唔會有巴絲翻譯做外語？,1,會 唔會 有巴絲 翻譯 做 外語 ？,唔會 有巴絲 翻譯 做 外語
96,大陸閪真係地球垃圾,1,大陸 閪 真係 地球 垃圾,大陸 閪 地球 垃圾
97,"食外國水
叫佢查下RTHK咩料先啦",1,"食 外國 水 
 叫 佢 查 下 RTHK 咩 料 先 啦",食 外國 水 叫 查 下 RTHK 料 先 啦
98,你同你老豆講香港電台公營機構 食政府錢㗎喎,1,你 同 你 老豆 講 香港 電台 公營 機構   食 政府 錢 㗎 喎,老豆 香港 電台 公營 機構 食 政府 錢 㗎
99,我無野講,1,我 無野講,無野講
100,人手置頂,1,人手 置頂,人手 置頂
101,係香港講事實已經好殘酷,1,係 香港 講 事實 已經 好 殘酷,香港 事實 殘酷
102,啲舖頭驚唔驚俾人找晦氣好擔心,1,啲 舖頭 驚 唔 驚 俾 人 找 晦氣 好 擔心,舖頭 驚 驚 俾 人 找 晦氣 擔心
103,其實可唔可以有民間調查組,1,其實 可 唔 可以 有 民間 調查組,其實 可 民間 調查組
104,"心痛
thanks 港台",1,"心痛 
 thanks   港台",心痛 thanks 港台
105,比班懶中立既中產睇,1,比班懶 中立 既 中產 睇,比班懶 中立 中產
106,睇到好撚嬲,1,睇 到 好 撚 嬲,撚 嬲
107,"釋放示威人士
撤銷所有控罪
追究黑警",1,"釋放 示威 人士 
 撤銷 所有 控罪 
 追究 黑警",釋放 示威 人士 撤銷 所有 控罪 追究 黑警
108,"睇完真係好嬲, 嬲到諗唔到講咩",1,"睇 完 真係 好 嬲 ,   嬲 到 諗 唔 到講 咩",完 嬲 嬲 到講
109,我老豆老母都睇YouTube 啦,1,我 老豆 老母 都 睇 YouTu be   啦,老豆 老母 YouTu be 啦
110,每次睇都忍唔住喊.....,1,每次 睇 都 忍 唔 住 喊 .....,每次 忍 住 喊 .....
111,中國義和團2.0,1,中國 義和團 2.0,中國 義和團 2.0
112,仲有經緯線,1,仲有 經緯線,仲有 經緯線
113,真係喊左出黎,1,真係 喊 左 出黎,喊 左 出黎
114,唔想又睇多次,1,唔 想 又 睇 多次,多次
115,"睇完喊到而家
和理非罷工之外，仲做到咩野",1,"睇 完 喊到 而家 
 和 理非 罷工 之外 ， 仲 做到 咩 野",完 喊到 理非 罷工 之外 仲 做到
116,仲衰，睇d字幕滾動，機械人聲片,1,仲衰 ， 睇 d 字幕 滾動 ， 機械 人聲 片,仲衰 d 字幕 滾動 機械 人聲 片
117,d 狗無一個喺無辜 屌你老母,1,d   狗 無 一個 喺 無辜   屌 你 老母,d 狗 一個 無辜 屌 老母
118,"前線比人拉左 可能坐10年
快d搵人總籌 尼次唔等得
有40幾條友要幫啊
sorry騎劫你個post",1,"前線 比人 拉 左   可能 坐 10 年 
 快 d 搵 人 總籌   尼次 唔 等得 
 有 40 幾條 友要 幫 啊 
 sorry 騎劫 你 個 post",前線 比人 拉 左 坐 10 年 快 d 搵 人 總籌 尼次 等得 40 幾條 友要 幫 sorry 騎劫 post
119,搵人幫手做字幕,1,搵 人 幫手 做 字幕,搵 人 幫手 做 字幕
120,睇完有無咩反應？,1,睇 完 有無 咩 反應 ？,完 反應
121,"有得諗！
播鏗鏘集起碼淺藍／廢老／對家唔會咁抗拒先！

//天琦：政治的工作不只是要令支持自己的人繼續支持自己，而更是要令不支持自己的人轉為支持自己，改變想法，認同自己的方向。//",1,"有得 諗 ！ 
 播 鏗鏘集 起碼 淺藍 ／ 廢老 ／ 對家 唔會 咁 抗拒 先 ！ 
 
 / / 天琦 ： 政治 的 工作 不 只是 要令 支持 自己 的 人 繼續 支持 自己 ， 而 更是 要令 不 支持 自己 的 人 轉為 支持 自己 ， 改變 想法 ， 認同 自己 的 方向 。 / /",有得 播 鏗鏘集 起碼 淺藍 ／ 廢老 ／ 對家 唔會 抗拒 先 天琦 政治 工作 只是 要令 支持 人 繼續 支持 更是 要令 支持 人 轉為 支持 改變 想法 認同 方向
122,"肯定係仲起英殖時代
同佢拗呢個point其實無用，點都會話私底收左外國錢
佢連明報都覺得係偏頗，石鏡泉叫中立",1,"肯 定係 仲起 英殖 時代 
 同 佢 拗 呢個 point 其實 無用 ， 點都會 話 私底 收 左 外國 錢 
 佢 連 明報 都 覺得 係 偏頗 ， 石鏡 泉 叫 中立",肯 定係 仲起 英殖 時代 拗 point 其實 無用 點都會 私底 收 左 外國 錢 連 明報 偏頗 石鏡 泉 叫 中立
123,可以翻譯做國際版嗎,1,可以 翻譯 做 國際版 嗎,翻譯 做 國際版 嗎
124,應該係國務院播，記得配上簡體字，睇下北大人仲是否高度讚許香港警察,1,應該 係 國務院 播 ， 記得 配上 簡體字 ， 睇 下北 大人 仲 是否 高度 讚許 香港 警察,國務院 播 記得 配上 簡體字 下北 大人 仲 是否 高度 讚許 香港 警察
125,港台就快死，快啲幫佢。佢哋年年被cut budget.,1,港台 就快 死 ， 快 啲 幫 佢 。 佢哋 年年 被 cut   budget .,港台 就快 死 快 幫 年年 被 cut budget
126,我直接send 咗俾幾隻狗friend,1,我 直接 send   咗 俾 幾隻 狗 friend,直接 send 俾 幾隻 狗 friend
127,納稅人養佐班唔識保護市民既狗，反而識驅趕主人,1,納稅人 養佐班 唔 識 保護 市民 既狗 ， 反而 識 驅趕 主人,納稅人 養佐班 識 保護 市民 既狗 反而 識 驅趕 主人
128,下次唔好退，要救落單義士，只要有一百人唔怕死一定可以打番轉頭，救番義士，對黑警唔好再驚！手足要不停睇斯巴達戰士洗自己腦,1,下次 唔好 退 ， 要 救 落單 義士 ， 只要 有 一百 人 唔 怕死 一定 可以 打番 轉頭 ， 救番 義士 ， 對 黑警 唔好 再 驚 ！ 手足 要 不停 睇 斯巴達 戰士 洗 自己 腦,下次 唔好 退 救 落單 義士 只要 一百 人 怕死 打番 轉頭 救番 義士 對 黑警 唔好 驚 手足 不停 斯巴達 戰士 洗 腦
129,"五大訴求
1. 徹底撤回逃犯修訂條例
2. 釋放所有因反送中被捕人士並承諾永不追究
3. 撤回612暴動定性
4.追究警察濫權濫暴(包括721元朗官警黑勾結事件)，成立獨立調查委員會
5. 立即實行雙普選",1,"五大 訴求 
 1 .   徹底 撤回 逃犯 修訂 條例 
 2 .   釋放 所有 因反 送 中 被捕 人士 並 承諾 永不 追究 
 3 .   撤回 612 暴動 定性 
 4 . 追究 警察 濫權 濫暴 ( 包括 721 元朗 官警 黑 勾結 事件 ) ， 成立 獨立 調查 委員會 
 5 .   立即 實行 雙 普選",五大 訴求 1 徹底 撤回 逃犯 修訂 條例 2 釋放 所有 因反 送 中 被捕 人士 並 承諾 永不 追究 3 撤回 612 暴動 定性 4 追究 警察 濫權 濫暴 包括 721 元朗 官警 黑 勾結 事件 成立 獨立 調查 委員會 5 立即 實行 雙 普選
130,respect記者 商戶都好配合比足cctv,1,respect 記者   商戶 都 好 配合 比足 cctv,respect 記者 商戶 配合 比足 cctv
131,睇完完全訓唔到,1,睇 完 完全 訓 唔 到,完 完全 訓
132,呢d就真係人神共憤喇,1,呢 d 就 真係 人神共憤 喇,d 人神共憤 喇
